SQUID,UNIT,Merged_UNITs,TOPELEVATION,BOTTOMELEVATION,RAWMAT,Material Type,Distance (km),DEBITAGE,DATACLASS,PRESERVATION,PATINATION,CORTEX,LOCATION OF CORTEX,CORTEX OF PREPARATION SURFACE,BURNT,SURFACE OF  FLAKE USED FOR FLAKING,NUMBER OF ACTIVE EDGES CORES,NUMBER OF PLATFORMS ON CORE,NUMBER OF SCARS FS,NUMBER OF SCARS PS,CORE LONGITUDINAL SECTION,CORE MORPHOLOGY,CORE TECHNOLOGY,CORE FLAKING METHODS,CORE TYPE,TYPE OF FLAKE CF,DOMINANT SCAR,LAST SCAR,ANGLE BETWEEN SP AND DS,FLAKE SP,TECHNOLOGY,PROFILE VENTRAL,PROFILE DORSAL,SECTION,FLAKE MORPHOLOGY,FLAKE TERMINATION,SYMMETRY,Parent Scar,NO DORSAL SCARS,SCAR PATTERN,STRIKING PLATFORM,LIP,RETOUCH,TOOL BLANK,STAGE OF RETOUCH,MODULE,TYPOLOGY A,RETOUCH LOCATION A,RETOUCH FACE A,RETOUCH TYPE A,ABRASION,SHAPE OF ACTIVE EDGE A,SECOND EVENT RETOUCH,TYPOLOGY B,RETOUCH LOCATION B,RETOUCH FACE B,RETOUCH TYPE B,SHAPE OF ACTIVE EDGE B,CORE LENGTH,CORE WIDTH,CORE THICKNESS,LENGTH OF DOMINANT SCAR,WIDTH OF DOMINANT SCAR,LENGTH OF LAST SCAR,WIDTH OF LAST SCAR,CORE CIRCUMFERENCE,TECHNOLOGICAL LENGTH,TECHNOLOGICAL WIDTH,MORPHOLOGICAL LENGTH,MORPHOLOGICAL WIDTH,THICKNESS,BREADTH OF STRIKING PLATFORM,DEPTH OF STRIKING PLATFORM,WEIGHT,IMAGE ACQUISITION 2D AND 3D,COMMENTS
K14-1128/1148-a,3.1,3,99.47,99.47,Geghasar,Obsidian,40,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification ,Straight,Straight,Straight,Trapezoidal,Feather,Symmetrical,,8,Along axis side,Crushed,Not lipped,Yes,Flake,Pre detachment,Module 4,,Circumference,Dorsal,Flat,No,,No,,,,,,,,,,,,,,10.65,10.58,13.19,10.73,1.31,,,,Photo+3d,
K14-1128/1148-b,3.1,3,99.47,99.47,Geghasar,Obsidian,40,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification ,Concave,Convex,Triangular,Sub rectangular,Feather,A symetric to the left,,6,Along axis side,Plain,Lipped,Yes,Flake,Pre detachment,Module 3,,Proximal until ridge,Dorsal,Flat,No,,No,,,,,,,,,,,,,,10.32,6.25,11.44,6.25,1.26,2.15,1.12,,Photo high resolution,
K14-1128/1148-c,3.1,3,99.47,99.47,Geghasar,Obsidian,40,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification ,Straight,Straight,Triangular,Rectangular,Step,Symmetrical,,2,Side,Plain,Not lipped,Yes,Flake,Pre detachment,Module 1,,Proximal,Dorsal,Regular,No,,No,,,,,,,,,,,,,,4,4.92,4.86,3.98,0.99,2.52,1.05,,None,
K14-937/942,1.3,1,99.72,99.7,Geghasar,Obsidian,40,Flake,Dist,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification ,,,,,,,,5,Along axis side,Crushed,Not lipped,Yes,Flake,Pre detachment,Module 3,,Proximal until ridge,Dorsal,Flat,No,,No,,,,,,,,,,,,,,,,12.12,7.4,0.94,,,,None,
K14-1359/1391-a,3.2,3,99.12,99.1,Obsidian,Obsidian,,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification ,Straight,Straight,Triangular,Sub rectangular,Feather,Symmetrical,,3,Along axis side,Plain,Lipped,Yes,Flake,Pre detachment,Module 1,,Proximal,Dorsal,Flat,No,,No,,,,,,,,,,,,,,4.61,3.11,4.48,3.2,0.55,2.38,0.81,,Photo high resolution,Red
K14-937/942,1.3,1,99.72,99.7,Geghasar,Obsidian,40,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification ,Straight,Oblique,Triangular,Sub triangular,Feather,A symetric to the left,Yes,9,Along axis,Faceted,Lipped,Yes,Flake,Pre detachment,Module 2,,Proximal right,Dorsal,Scraper-like,No,,No,,,,,,,,,,,,,,10.56,7.35,14.35,8.21,2.21,5.1,2.57,,Photo high resolution,Signs of use
K14-937/942-b,1.3,1,99.72,99.7,Geghasar,Obsidian,40,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification ,Concave,Convex,Trapezoidal,Trapezoidal,Feather,A symetric to the right,Yes,6,Along axis side,Plain,Lipped,Yes,Flake,Pre detachment,Module 3,,Proximal until ridge,Dorsal,Scraper-like,No,,No,,,,,,,,,,,,,,4.01,6.41,8.04,5.39,1.17,4.94,1.56,,Photo+3d,Two ventrals
K14-937/942-c,1.3,1,99.72,99.7,Obsidian,Obsidian,,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification ,Straight,Straight,Straight,Rectangular,Feather,Symmetrical,Yes,3,Along axis,Plain,Lipped,Yes,Kombewa flake,Pre detachment,Module 1,,Proximal,Dorsal,Fine,No,,No,,,,,,,,,,,,,,2.27,6.46,7.42,2.53,1.6,4.92,1.36,,Photo high resolution,
K14-937/942-d,1.3,1,99.72,99.7,Obsidian,Obsidian,,Bladelet,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification ,Straight,Triangular,Triangular,Rectangular,Feather,Symmetrical,,3,Along axis side,Plain,Lipped,Yes,Bladelet,Pre detachment,Module 1,,Proximal,Dorsal,Flat,No,,No,,,,,,,,,,,,,,4.73,2.15,5.33,2.56,0.48,1.57,0.64,,Photo high resolution,
K14-1283/1288-a,3.1,3,99.29,99.27,Geghasar,Obsidian,40,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification ,Concave,Convex,Trapezoidal,Oval,Feather,Symmetrical,,5,Along axis,Plain,Lipped,Yes,Flake,Pre detachment,Module 3,,Proximal until ridge,Dorsal,Flat,No,,No,,,,,,,,,,,,,,4.97,5.7,5.68,5.1,0.79,1.98,0.82,,Photo high resolution,Two ventrals
