SQUID,UNIT,TOPELEVATION,BOTTOMELEVATION,RAWMAT,Material Type,DEBITAGE,DATACLASS,PRESERVATION,PATINATION,CORTEX,LOCATION OF CORTEX,CORTEX OF PREPARATION SURFACE,BURNT,SURFACE OF  FLAKE USED FOR FLAKING,NUMBER OF ACTIVE EDGES CORES,NUMBER OF PLATFORMS ON CORE,NUMBER OF SCARS FS,NUMBER OF SCARS PS,CORE LONGITUDINAL SECTION,CORE MORPHOLOGY,CORE TECHNOLOGY,CORE FLAKING METHODS,CORE TYPE,TYPE OF FLAKE CF,DOMINANT SCAR,LAST SCAR,ANGLE BETWEEN SP AND DS,FLAKE SP,TECHNOLOGY,PROFILE VENTRAL,PROFILE DORSAL,SECTION,FLAKE MORPHOLOGY,FLAKE TERMINATION,SYMMETRY,NO DORSAL SCARS,SCAR PATTERN,STRIKING PLATFORM,LIP,RETOUCH,TOOL BLANK,STAGE OF RETOUCH,MODULE,TYPOLOGY A,RETOUCH LOCATION A,RETOUCH FACE A,RETOUCH TYPE A,ABRASION,SHAPE OF ACTIVE EDGE A,SECOND EVENT RETOUCH,TYPOLOGY B,RETOUCH LOCATION B,RETOUCH FACE B,RETOUCH TYPE B,SHAPE OF ACTIVE EDGE B,CORE LENGTH,CORE WIDTH,CORE THICKNESS,LENGTH OF DOMINANT SCAR,WIDTH OF DOMINANT SCAR,LENGTH OF LAST SCAR,WIDTH OF LAST SCAR,CORE CIRCUMFERENCE,TECHNOLOGICAL LENGTH,TECHNOLOGICAL WIDTH,MORPHOLOGICAL LENGTH,MORPHOLOGICAL WIDTH,THICKNESS,BREADTH OF STRIKING PLATFORM,DEPTH OF STRIKING PLATFORM,WEIGHT,IMAGE ACQUISITION 2D AND 3D,COMMENTS
A76-12,1b,96.95,96.95,Tuf,Non-Obsidian,Flake,Complete,Fresh,No patina,1-25%,Distal,,No,,,,,,,,,,,,,,,,Edge Modification,Concave,Convex,Trapezoidal,Trapezoidal,Feather,Symmetrical,6,Along axis side,Plain,Not lipped,Yes,Flake,Pre detachment,Module 2,,Proximal right,Dorsal,Half quina,,,No,,,,,,,,,,,,,,16,16.65,22.05,18.13,4.64,11.94,1.13,,Photo high resolution,
A76-19,1b,96.94,96.94,Tuf,Non-Obsidian,Flake,Complete,Fresh,No patina,1-25%,Distal,,No,,,,,,,,,,,,,,,,Edge Modification,Concave,Convex,Triangular,Sub rectangular,Feather,Symmetrical,4,Along axis,Plain,Lipped,Yes,Flake,Pre detachment,Module 1,,Proximal,Dorsal,Mixed,,,No,,,,,,,,,,,,,,13.56,14.64,13.85,16.42,3.53,12.43,3.49,,None,
A76-13,1b,96.97,96.97,Tuf,Non-Obsidian,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,Straight,Triangular,Triangular,Trapezoidal,Feather,A symetric to the left,7,Along axis side,Plain,Not lipped,Yes,Flake,Pre detachment,Module 2,,Proximal,Dorsal,Regular,,,No,,,,,,,,,,,,,,21.52,25.03,32.3,22.31,5.85,5.2,1.79,,Photo high resolution,Raw material description
A77-39,1b,96.95,96.95,Tuf,Non-Obsidian,Flake,Complete,Fresh,No patina,1-25%,Distal right,,No,,,,,,,,,,,,,,,,Edge Modification,Concave,Convex,Triangular,Trapezoidal,Feather,A symetric to the right,4,Along axis side,Plain,Not lipped,Yes,Flake,Pre detachment,Module 2,,Proximal,Dorsal,Regular,,,No,,,,,,,,,,,,,,14.96,17.76,23.78,15.67,4.11,8.24,1.72,,None,
B77-42,1b,96.97,96.97,Tuf,Non-Obsidian,Flake,Dist+Lat,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,,,,,,,7,Along axis side,Plain,Lipped,Yes,Flake,Pre detachment,Module 3,,Left edge,Dorsal,Half quina,,,No,,,,,,,,,,,,,,,,28.78,14.35,5.81,6.05,2.05,,Photo high resolution,Lsf
B77-52,1b,96.94,96.94,Tuf,Non-Obsidian,Flake,Complete,Fresh,No patina,1-25%,Distal,,No,,,,,,,,,,,,,,,,Edge Modification,Concave,Convex,Trapezoidal,Trapezoidal,Feather,A symetric to the right,5,Along axis,Plain,Not lipped,Yes,Flake,Pre detachment,Module 3,,Proximal,Dorsal,Regular,,,No,,,,,,,,,,,,,,14.48,16.48,21.32,16.77,2.99,8.15,2.28,,None,
B77-61,1b,96.96,96.96,Tuf,Non-Obsidian,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,Straight,Straight,Straight,Triangular,Hinge,Symmetrical,4,Along axis,Dihedral,Lipped,Yes,Flake,Pre detachment,Module 1,,Proximal,Dorsal,Regular,,,No,,,,,,,,,,,,,,17.47,15.08,18.81,15.69,2.12,9.3,2.58,,Photo high resolution,Module1 example
B78-59,1b,96.98,96.98,Tuf,Non-Obsidian,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,Straight,Straight,Irregular,Trapezoidal,Hinge,Symmetrical,6,Along axis,Dihedral,Lipped,Yes,Flake,Pre detachment,Module 2,,Proximal,Dorsal,Half quina,,,No,,,,,,,,,,,,,,16.01,21.94,28.19,16.11,5.77,11.29,5.11,,Photo+3d,
B78-60-a,1b,96.98,96.98,Tuf,Non-Obsidian,Kombewa,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,Straight,Straight,Straight,Trapezoidal,Hinge,A symetric to the right,6,Along axis,Crushed,Indeterminate,Yes,Flake,Pre detachment,Module 2,,Proximal,Dorsal,Flat,,,No,,,,,,,,,,,,,,13.72,18.59,21.77,15.37,3.06,,,,Photo+3d,
C76-64,1b,97.04,97.04,Tuf,Non-Obsidian,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,Concave,Convex,Concave convex,Trapezoidal,Feather,A symetric to the right,6,Along axis,Crushed,Not lipped,Yes,Flake,Pre detachment,Module 2,,Proximal,Dorsal,Regular,,,No,,,,,,,,,,,,,,14.19,25.26,25.69,14.79,5.38,,,,Photo high resolution,
C76-65,1b,97.06,97.06,Tuf,Non-Obsidian,Flake,Complete,Fresh,No patina,25-50%,Distal,,No,,,,,,,,,,,,,,,,Edge Modification,Convex,Concave,Concave,Trapezoidal,Plunging,Symmetrical,8,Along axis,Plain,Lipped,Yes,Flake,Pre detachment,Module 3,,Proximal,Dorsal,Invasive,,,No,,,,,,,,,,,,,,16.37,28.92,31.11,17.38,6.47,28.26,4.48,,Photo+3d,
C77-108,1b,96.98,96.98,Tuf,Non-Obsidian,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,Straight,Convex,Triangular,Oval,Feather,A symetric to the right,10,Along axis side,Plain,Lipped,Yes,Flake,Pre detachment,Module 3,,Proximal,Dorsal,Half quina,,,No,,,,,,,,,,,,,,17,18.08,32.96,15.37,7.65,12.53,7.29,,Photo+3d,
